Model,Accuracy,Macro-F1,Hyperparams,TrainingParams
relu_20250409_115135.npz,0.3302,0.2878181773734996,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_041922.npz,0.3284,0.28687553886565337,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_022323.npz,0.3163,0.2865452600202456,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_040749.npz,0.3246,0.2861880234953397,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
relu_20250409_034930.npz,0.329,0.2855753089724119,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 256, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_120948.npz,0.3348,0.2847765381544179,"{'input_dim': 128, 'hidden_dims': [1024, 512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 256, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_025500.npz,0.3159,0.28380790724973204,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.92, 'weight_decay': 0.0001}}"
relu_20250409_042906.npz,0.323,0.2821416201731621,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'SGD', 'shuffle': True, 'opt_para': {'momentum': 0.9, 'weight_decay': 0.0001}}"
relu_20250409_022610.npz,0.3242,0.28200284397267994,"{'input_dim': 128, 'hidden_dims': [256, 128], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.0, 'use_batchnorm': True}","{'learning_rate': 0.005, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-06}}"
relu_20250409_075036.npz,0.3351,0.2816268454582426,"{'input_dim': 128, 'hidden_dims': [512, 256], 'output_dim': 10, 'activation': 'relu', 'dropout_prob': 0.1, 'use_batchnorm': True}","{'learning_rate': 0.01, 'batch_size': 512, 'num_epochs': 200, 'opt': 'Adam', 'shuffle': True, 'opt_para': {'beta1': 0.92, 'beta2': 0.98, 'eps': 1e-06}}"
